iter	Logloss
0	0.4540997548
1	0.3691498844
2	0.3367519659
3	0.3221048435
4	0.3130610186
5	0.3090745644
6	0.3051489893
7	0.3028052144
8	0.2993901149
9	0.2959168759
10	0.290788806
11	0.2892662511
12	0.2878169226
13	0.2862717026
14	0.284766412
15	0.2834945962
16	0.2819208335
17	0.2805229002
18	0.2794851922
19	0.2788623494
20	0.2775896273
21	0.2764931802
22	0.2758239685
23	0.2750673155
24	0.2740322649
25	0.2727559308
26	0.2713482134
27	0.2702276387
28	0.2688034288
29	0.2681875084
30	0.2672945265
31	0.2662363707
32	0.2655319733
33	0.2643395232
34	0.2639421798
35	0.2621257551
36	0.2612937125
37	0.2602289146
38	0.2596178627
39	0.2589359199
40	0.2582053224
41	0.2576024022
42	0.25691822
43	0.2559847407
44	0.2552324289
45	0.2547136021
46	0.2537949419
47	0.2530085458
48	0.2520603135
49	0.2514824663
50	0.2509947084
51	0.2502586742
52	0.2500184925
53	0.2496492769
54	0.248942234
55	0.2483859946
56	0.2479006406
57	0.2471170265
58	0.2466027247
59	0.2461062606
60	0.2450853709
61	0.2440140326
62	0.2436531266
63	0.2431663305
64	0.2426211228
65	0.2417153867
66	0.2414180864
67	0.2412005648
68	0.2402672824
69	0.2394201811
70	0.2389982825
71	0.2382906263
72	0.2376044995
73	0.2370820179
74	0.2363541493
75	0.2360334512
76	0.2354954361
77	0.235245574
78	0.234719324
79	0.2341471082
80	0.233828519
81	0.2331251064
82	0.2325969459
83	0.2319440784
84	0.231666436
85	0.2314027711
86	0.2309111333
87	0.2306920534
88	0.2299634398
89	0.2296535585
90	0.2293501523
91	0.2288275657
92	0.2282156033
93	0.2276978606
94	0.2271637132
95	0.226705701
96	0.2261746248
97	0.2258301382
98	0.2252753547
99	0.2247545307
