iter	Passed	Remaining
0	56	5546
1	65	3195
2	73	2378
3	80	1924
4	87	1670
5	94	1480
6	100	1341
7	109	1255
8	116	1180
9	126	1140
10	134	1089
11	140	1032
12	147	984
13	158	972
14	165	936
15	175	921
16	185	904
17	194	884
18	206	882
19	214	858
20	224	845
21	235	836
22	250	839
23	264	836
24	280	842
25	290	828
26	304	822
27	315	812
28	325	797
29	336	786
30	343	765
31	358	760
32	369	749
33	382	741
34	392	729
35	408	726
36	426	726
37	440	719
38	450	704
39	463	694
40	472	680
41	485	670
42	493	654
43	506	645
44	519	634
45	527	619
46	539	607
47	551	597
48	565	588
49	574	574
50	588	565
51	602	556
52	615	545
53	628	535
54	636	521
55	650	511
56	662	499
57	671	485
58	682	474
59	692	461
60	702	448
61	723	443
62	744	437
63	759	427
64	777	418
65	794	409
66	804	396
67	812	382
68	830	373
69	843	361
70	853	348
71	865	336
72	878	324
73	897	315
74	925	308
75	938	296
76	948	283
77	962	271
78	984	261
79	1004	251
80	1022	239
81	1038	228
82	1046	214
83	1058	201
84	1070	188
85	1077	175
86	1090	162
87	1105	150
88	1113	137
89	1128	125
90	1139	112
91	1152	100
92	1162	87
93	1178	75
94	1190	62
95	1204	50
96	1217	37
97	1226	25
98	1236	12
99	1252	0
